0.317	0.0005	1.5464	0.0008
0.29	0.0005	1.526	0.0013
0.2255	0.0005	1.5503	0.0008
0.289	0.0005	1.524	0.003
0.399	0.0005	1.571	0.003
0.207	0.0005	1.569	0.003
0.225	0.0005	1.5506	0.0008
0.371	0.0005	1.5479	0.0006
0.289	0.0005	1.5242	0.0017
0.289	0.00005	1.52	0.001
0.246	0.00005	1.551	0.001
0.338	0.00005	1.552	0.001
0.2887	0.000289	1.53	0.002
0.194	0.001	1.593	0.002
0.429	0.001	1.598	0.002
0.288	0.0002	1.52	0.0002
0.37	0.0005	1.55	0.0002
0.225	0.0005	1.54	0.0003
0.2887	0.0005	1.505	0.002
0.342	0.001	1.521	0.002
0.242	0.001	1.514	0.002
0.29	0.0005	1.528	0.001089
0.34	0.0005	1.538	0.001089
0.245	0.0005	1.529	0.001089
0.289	0.0005	1.524	0.001
0.208	0.0005	1.561	0.001
0.4	0.0005	1.564	0.001
0.244	0.0005	1.53	0.0012
0.288	0.0005	1.52	0.0015
0.338	0.0005	1.53	0.0016
0.32	0.0001	1.5303	0.0042
0.26	0.0001	1.5323	0.0028
0.249	0.0005	1.5446	0.0006
0.289	0.0005	1.5346	0.0007
0.335	0.0005	1.5457	0.0021
0.2887	0.0001	1.525	0.002
0.261	0.0001	1.529	0.002
0.319	0.0001	1.527	0.002
0.333	0.001	1.5323	0.0021
0.291	0.001	1.5218	0.0022
0.249	0.001	1.5289	0.0022
0.2887	0.0003	1.576	0.00172
0.336	0.001	1.5531	0.0041
0.25	0.001	1.5655	0.0034
