2453602.64217 18.691 0.050
2453603.61617 18.811 0.053
2453607.61449 18.825 0.043
2453608.62143 18.713 0.053
2453615.55715 18.624 0.035
2453616.56461 18.893 0.069
2453618.54127 18.778 0.046
2453619.56591 18.698 0.049
2453621.56553 18.866 0.062
2453628.53941 18.751 0.062
2453629.62407 18.742 0.074
2453631.50896 18.968 0.083
2453633.52207 18.864 0.070
2453637.61824 18.827 0.071
2453639.57177 18.743 0.037
2453641.52394 18.585 0.055
2453648.51618 18.829 0.061
2453650.55356 18.778 0.058
2453655.50403 18.634 0.054
2453657.51153 18.859 0.069
2453660.50569 18.614 0.059
2453662.51092 18.768 0.066
2453666.53844 18.751 0.054
2453776.84622 18.799 0.082
2453784.85638 18.783 0.055
2453787.89304 18.850 0.060
2453791.87114 18.842 0.068
2453794.85079 18.798 0.050
2453796.83850 18.631 0.049
2453797.84240 18.684 0.043
2453798.89039 18.737 0.043
2453801.81398 18.622 0.049
2453803.80303 18.630 0.043
2453804.85035 18.678 0.048
2453805.89076 18.737 0.044
2453807.87907 18.707 0.047
2453808.91420 18.725 0.059
2453811.87202 18.663 0.046
2453812.90373 18.742 0.054
2453817.89042 18.866 0.075
2453818.91112 18.631 0.049
2453820.85714 18.783 0.047
2453821.86713 18.700 0.039
2453822.76618 18.899 0.081
2453823.87545 18.724 0.041
2453824.87203 18.750 0.050
2453826.87649 18.726 0.049
2453828.87883 18.729 0.045
2453829.86557 18.661 0.039
2453832.86587 18.531 0.040
2453833.83574 18.689 0.037
2453834.88467 18.657 0.039
2453835.82799 18.628 0.036
2453836.83366 18.729 0.048
2453837.82302 18.549 0.038
2453838.82701 18.663 0.059
2453839.83915 18.604 0.045
2453840.83018 18.570 0.044
2453841.80905 18.605 0.043
2453845.81194 18.717 0.072
2453846.82208 18.668 0.045
2453848.83757 18.593 0.038
2453849.85086 18.487 0.031
2453850.78691 18.632 0.045
2453851.79324 18.791 0.063
2453852.78172 18.423 0.035
2453853.77441 18.457 0.027
2453856.76321 18.675 0.046
2453858.82713 18.452 0.046
2453860.81791 18.425 0.042
2453861.82858 18.313 0.025
2453862.77620 18.328 0.028
2453863.71594 18.246 0.027
2453864.77704 18.286 0.027
2453865.74141 18.247 0.035
2453866.76985 18.180 0.026
2453867.70677 18.191 0.030
2453868.77279 18.183 0.034
2453869.75921 18.186 0.036
2453873.76001 17.876 0.021
2453874.80461 17.884 0.024
2453875.71968 17.884 0.019
2453875.74276 17.852 0.017
2453875.81551 17.806 0.018
2453875.89197 17.906 0.022
2453875.93441 17.835 0.021
2453876.60195 17.753 0.019
2453876.62882 17.868 0.018
2453876.70495 17.829 0.018
2453877.62694 17.790 0.019
2453877.65639 17.753 0.017
2453877.74930 17.801 0.017
2453877.93182 17.864 0.031
2453880.74654 17.721 0.020
2453881.75469 17.781 0.018
2453881.77769 17.790 0.017
2453881.81974 17.744 0.017
2453882.69275 17.804 0.020
2453883.73420 17.808 0.018
2453886.70505 17.868 0.020
2453887.56995 17.996 0.030
2453887.64533 17.928 0.021
2453887.68810 17.973 0.024
2453888.58542 18.035 0.031
2453889.84645 18.094 0.025
2453891.59821 18.153 0.028
2453892.84446 18.151 0.028
2453893.72924 18.359 0.045
2453894.77461 18.295 0.042
2453896.72290 18.260 0.033
2453900.62576 18.337 0.035
2453901.63765 18.441 0.038
2453902.65555 18.453 0.044
2453903.77776 18.446 0.033
2453904.63527 18.462 0.031
2453905.64223 18.463 0.031
2453906.62377 18.496 0.036
2453907.68486 18.794 0.074
2453908.62342 18.580 0.036
2453909.62782 18.596 0.034
2453912.62817 18.514 0.029
2453913.62570 18.589 0.031
2453914.63983 18.507 0.032
2453915.62260 18.572 0.040
2453916.70438 18.765 0.049
2453917.71706 18.479 0.036
2453918.50679 18.653 0.054
2453918.71811 18.622 0.042
2453919.65130 18.935 0.075
2453920.60342 18.706 0.045
2453921.61690 18.594 0.056
